date,sport,subtype,planned_vs_unplanned,duration,distance_km,pace_min_km,avg_hr,relative_effort,football_session_load,HIR_m,sprint_distance_m,accelerations,decelerations,source,data_confidence
2026-09-21,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-09-22,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-23,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-09-24,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-25,run,long_run,planned,,18.0,,,,,,,,,plan,plan
2026-09-26,run,rest,planned,,,,,,,,,,,plan,plan
2026-09-27,football,football,planned,,,,,,,,,,,plan,plan
2026-09-28,run,run,planned,,5.5,,,,,,,,,plan,plan
2026-09-29,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-30,run,quality_run,planned,,8.0,,,,,,,,,plan,plan
2026-10-01,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-10-02,run,long_run,planned,,12.0,,,,,,,,,plan,plan
2026-10-03,run,rest,planned,,,,,,,,,,,plan,plan
2026-10-04,football,football,planned,,,,,,,,,,,plan,plan
2026-10-05,run,run,planned,,5.0,,,,,,,,,plan,plan
2026-10-06,football,football,planned,,,,,,,,,,,plan,plan
2026-10-07,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-10-08,football,football,planned,,,,,,,,,,,plan,plan
2026-10-09,run,run,planned,,5.0,,,,,,,,,plan,plan
2026-10-10,run,rest,planned,,,,,,,,,,,plan,plan
2026-10-11,run,race,planned,,42.2,,,,,,,,,plan,plan
